datetime,solarradiation
7/4/2022,227.1
7/5/2022,252.6
7/6/2022,93.1
7/7/2022,153.3
7/8/2022,156
7/9/2022,272.1
7/10/2022,252.6
7/11/2022,296.1
7/12/2022,244.2
7/13/2022,277.4
7/14/2022,255.1
7/15/2022,255.2
7/16/2022,307.3
7/17/2022,285.8
7/18/2022,274.4
7/19/2022,262.7
7/20/2022,228.7
7/21/2022,295
7/22/2022,249.8
7/23/2022,225.8
7/24/2022,314.4
7/25/2022,325.5
7/26/2022,327.1
7/27/2022,324.4
7/28/2022,325.1
7/29/2022,244
7/30/2022,178.8
7/31/2022,274.3
8/1/2022,258.4
8/2/2022,263.5
8/3/2022,271.2
8/4/2022,295.4
8/5/2022,169
8/6/2022,32.2
8/7/2022,58
8/8/2022,270.6
8/9/2022,160.1
8/10/2022,122.4
8/11/2022,19.6
8/12/2022,19.3
8/13/2022,216.9
8/14/2022,241.3
8/15/2022,256
8/16/2022,220.8
8/17/2022,210.4
8/18/2022,305.6
8/19/2022,279.8
8/20/2022,244.1
8/21/2022,107.9
8/22/2022,244.1
8/23/2022,274.4
8/24/2022,291.2
8/25/2022,190.9
8/26/2022,77.6
8/27/2022,244.8
8/28/2022,235.5
8/29/2022,299.5
8/30/2022,304.7
8/31/2022,275.1
9/1/2022,262.4
9/2/2022,296.3
9/3/2022,261.3
9/4/2022,201.4
9/5/2022,277.7
9/6/2022,299.6
9/7/2022,238.7
9/8/2022,11.6
9/9/2022,26.3
9/10/2022,154.7
9/11/2022,247.3
9/12/2022,107
9/13/2022,287.7
9/14/2022,285.9
9/15/2022,263
9/16/2022,144.6
9/17/2022,190
9/18/2022,280.2
9/19/2022,285.5
9/20/2022,283.8
9/21/2022,266.9
9/22/2022,141.8
9/23/2022,255.2
9/24/2022,247.1
9/25/2022,264.7
9/26/2022,269.5
9/27/2022,252.5
9/28/2022,11.8
9/29/2022,48.7
9/30/2022,87.2
10/1/2022,118.6
10/2/2022,34.7
10/3/2022,238.3
10/4/2022,242.5
10/5/2022,251.4
10/6/2022,235.2
10/7/2022,258.9
10/8/2022,234
10/9/2022,17.4
10/10/2022,63.2
10/11/2022,264.8
10/12/2022,263.7
10/13/2022,264.3
10/14/2022,257.4
10/15/2022,257.3
10/16/2022,261.9
10/17/2022,255.4
10/18/2022,255.5
10/19/2022,136.3
10/20/2022,7.5
10/21/2022,18.2
10/22/2022,244.8
10/23/2022,242.7
10/24/2022,244.5
10/25/2022,49.5
10/26/2022,135
10/27/2022,207.2
10/28/2022,236.5
10/29/2022,193.3
10/30/2022,223.7
10/31/2022,217.1
11/1/2022,201.7
11/2/2022,213.1
11/3/2022,233.4
11/4/2022,225.7
11/5/2022,233.4
11/6/2022,228
11/7/2022,229
11/8/2022,229.3
11/9/2022,226.8
11/10/2022,152.7
11/11/2022,116.1
11/12/2022,184.2
11/13/2022,149.3
11/14/2022,164.5
11/15/2022,149.6
11/16/2022,154.2
11/17/2022,139.3
11/18/2022,139.9
11/19/2022,122.3
11/20/2022,148.7
11/21/2022,128.2
11/22/2022,109
11/23/2022,45.2
11/24/2022,7.8
11/25/2022,37.1
11/26/2022,30.3
11/27/2022,119
11/28/2022,195
11/29/2022,137.9
11/30/2022,167.2
12/1/2022,12
12/2/2022,72.8
12/3/2022,197.6
12/4/2022,23
12/5/2022,39.7
12/6/2022,155
12/7/2022,54.3
12/8/2022,25.3
12/9/2022,29.7
12/10/2022,7.6
12/11/2022,27.5
12/12/2022,137.4
12/13/2022,207.1
12/14/2022,205.6
12/15/2022,202.7
12/16/2022,201.5
12/17/2022,66.8
12/18/2022,185.9
12/19/2022,207
12/20/2022,202.5
12/21/2022,190.1
12/22/2022,181.4
12/23/2022,182.2
12/24/2022,177
12/25/2022,203.3
12/26/2022,32.2
12/27/2022,39.8
12/28/2022,7.1
12/29/2022,125.7
12/30/2022,83.3
12/31/2022,156.6
1/1/2023,206.3
1/2/2023,96.8
1/3/2023,74.2
1/4/2023,191.5
1/5/2023,41.3
1/6/2023,172.4
1/7/2023,205.9
1/8/2023,136.8
1/9/2023,91.2
1/10/2023,21.1
1/11/2023,84.8
1/12/2023,185.1
1/13/2023,208
1/14/2023,215.5
1/15/2023,31.1
1/16/2023,133.1
1/17/2023,25.9
1/18/2023,97.9
1/19/2023,128.9
1/20/2023,214.8
1/21/2023,222.1
1/22/2023,222.1
1/23/2023,52.9
1/24/2023,92.5
1/25/2023,230.7
1/26/2023,86.2
1/27/2023,38.5
1/28/2023,236.8
1/29/2023,238
1/30/2023,239
1/31/2023,238.1
2/1/2023,221.6
2/2/2023,56.6
2/3/2023,11
2/4/2023,44
2/5/2023,22.1
2/6/2023,36
2/7/2023,23.8
2/8/2023,18.1
2/9/2023,84.1
2/10/2023,116.5
2/11/2023,188.3
2/12/2023,190.4
2/13/2023,193.6
2/14/2023,17.4
2/15/2023,68.8
2/16/2023,80.5
2/17/2023,164.2
2/18/2023,136.1
2/19/2023,40
2/20/2023,200.2
2/21/2023,99
2/22/2023,139.8
2/23/2023,126.5
2/24/2023,16.9
2/25/2023,230.4
2/26/2023,274.1
2/27/2023,274
2/28/2023,267.2
3/1/2023,96.5
3/2/2023,123.5
3/3/2023,159.2
3/4/2023,217.5
3/5/2023,217.8
3/6/2023,196
3/7/2023,171.9
3/8/2023,61.7
3/9/2023,236
3/10/2023,280.8
3/11/2023,92.8
3/12/2023,60.7
3/13/2023,63.3
3/14/2023,285.8
3/15/2023,48.8
3/16/2023,138.9
3/17/2023,159.8
3/18/2023,140.5
3/19/2023,163.2
3/20/2023,154.5
3/21/2023,238.5
3/22/2023,290.6
3/23/2023,276.6
3/24/2023,291
3/25/2023,69.6
3/26/2023,27.7
3/27/2023,24.3
3/28/2023,67.6
3/29/2023,230
3/30/2023,66.6
3/31/2023,128.3
4/1/2023,76.2
4/2/2023,163.4
4/3/2023,211.5
4/4/2023,284.7
4/5/2023,294.3
4/6/2023,132.5
4/7/2023,80.4
4/8/2023,23.9
4/9/2023,76.6
4/10/2023,122.2
4/11/2023,116.7
4/12/2023,31
4/13/2023,123
4/14/2023,79.6
4/15/2023,167.1
4/16/2023,241.2
4/17/2023,203
4/18/2023,241.2
4/19/2023,284.5
4/20/2023,245.6
4/21/2023,254.6
4/22/2023,230.1
4/23/2023,148.7
4/24/2023,130.5
4/25/2023,18.1
4/26/2023,157.5
4/27/2023,188.7
4/28/2023,139.5
4/29/2023,109.7
4/30/2023,268.2
5/1/2023,232.8
5/2/2023,212.7
5/3/2023,259.8
5/4/2023,281.5
5/5/2023,322.8
5/6/2023,322.3
5/7/2023,254.2
5/8/2023,29.5
5/9/2023,83.1
5/10/2023,245.8
5/11/2023,214.7
5/12/2023,149.7
5/13/2023,38.4
5/14/2023,59.2
5/15/2023,296.9
5/16/2023,317
5/17/2023,328.1
5/18/2023,328.1
5/19/2023,321.6
5/20/2023,289
5/21/2023,302.4
5/22/2023,322
5/23/2023,179.2
5/24/2023,193.5
5/25/2023,194
5/26/2023,242.6
5/27/2023,235.1
5/28/2023,193.3
5/29/2023,230.8
5/30/2023,323
5/31/2023,327.2
6/1/2023,325.1
6/2/2023,321.5
6/3/2023,316.3
6/4/2023,248.6
6/5/2023,209.5
6/6/2023,193.9
6/7/2023,282.2
6/8/2023,252.5
6/9/2023,180.7
6/10/2023,284
6/11/2023,308.1
6/12/2023,264.2
6/13/2023,157.7
6/14/2023,194.7
6/15/2023,277.3
6/16/2023,233.5
6/17/2023,260.8
6/18/2023,201.7
6/19/2023,291.2
6/20/2023,291
6/21/2023,311.5
6/22/2023,218.4
6/23/2023,134.5
6/24/2023,24.5
6/25/2023,45.9
6/26/2023,75.4
6/27/2023,132.3
6/28/2023,242
6/29/2023,306
6/30/2023,310.8
7/1/2023,307.4
7/2/2023,304.9
7/3/2023,278.7
7/4/2023,308.4
7/5/2023,304.7
7/6/2023,310.8
7/7/2023,320
7/8/2023,314.8
7/9/2023,267.5
7/10/2023,299.7
7/11/2023,310.5
7/12/2023,319.8
7/13/2023,315
7/14/2023,285.7
7/15/2023,240.8
7/16/2023,216.1
7/17/2023,225.8
7/18/2023,24.9
7/19/2023,128.2
7/20/2023,124.4
7/21/2023,251.2
7/22/2023,238
7/23/2023,304.6
7/24/2023,292.8
7/25/2023,310.8
7/26/2023,321.8
7/27/2023,306.4
7/28/2023,116.4
7/29/2023,238
7/30/2023,231.1
7/31/2023,275.8
8/1/2023,83.5
8/2/2023,196.8
8/3/2023,145.9
8/4/2023,126.3
8/5/2023,43.9
8/6/2023,45.3
8/7/2023,170.5
8/8/2023,233.6
8/9/2023,290.8
8/10/2023,181.4
8/11/2023,287.5
8/12/2023,293.2
8/13/2023,207.1
8/14/2023,102.1
8/15/2023,188
8/16/2023,248.3
8/17/2023,307.4
8/18/2023,265.9
8/19/2023,201.1
8/20/2023,139.3
8/21/2023,266.3
8/22/2023,280.5
8/23/2023,253
8/24/2023,275
8/25/2023,260.5
8/26/2023,265.8
8/27/2023,277.2
8/28/2023,68.1
8/29/2023,299.7
8/30/2023,303
8/31/2023,303.7
9/1/2023,134.2
9/2/2023,259.2
9/3/2023,92.7
9/4/2023,197.2
9/5/2023,262.8
9/6/2023,289.6
9/7/2023,234.1
9/8/2023,241.3
9/9/2023,240.8
9/10/2023,265.7
9/11/2023,172.5
